861,3773,467,,3445,131,,2434
1185,4118,,,2559,,976,2735
1900,1529,,2889,,2364,2042,2613
1479,776,,1956,3074,2614,1501,162
996,4912,3799,338,4888,4860,493,
65,,2028,392,4475,,3100,4876
4599,805,2774,2691,503,871,,1485
864,564,1758,,1679,1060,1723,2626
1598,2694,3628,1982,1530,,2238,
4030,,1283,,4745,4780,3446,1496
1854,4660,3458,1637,3153,4098,855,3475
1708,1734,4932,,4497,2328,198,3583
,1148,2512,,1370,147,1735,2977
2386,1803,4062,263,624,3644,3724,4091
3171,2256,3192,4724,,1446,254,
,2962,4434,3235,4068,4494,3988,1219
3105,955,3447,1694,3437,3355,4894,960
3068,4755,3121,,2206,3445,1061,302
3171,1140,981,1185,128,570,2734,
2902,155,4058,4342,2807,1842,525,
